id,season,team1,team2,result,target,team2_score,balls_30,team2_30_rn,team2_30_wk,team2_30_ach,balls_60,team2_60_rn,team2_60_wk,team2_60_ach,balls_90,team2_90_rn,team2_90_wk,team2_90_ach,dl_applied,winner,win_by_runs,win_by_wickets,team2_win,dls_5,dls_10,dls_15
37,2017,Royal Challengers Bangalore,Mumbai Indians,normal,163,165,90,47,1,118,60,74,3,91,30,114,5,51,0,Mumbai Indians,0,5,1,1,1,1
38,2017,Gujarat Lions,Rising Pune Supergiant,normal,162,167,90,37,3,130,60,67,4,100,30,102,4,65,0,Rising Pune Supergiant,0,5,1,0,0,0
39,2017,Sunrisers Hyderabad,Delhi Daredevils,normal,186,189,90,46,1,143,60,96,2,93,30,142,3,47,0,Delhi Daredevils,0,6,1,1,1,1
40,2017,Kolkata Knight Riders,Rising Pune Supergiant,normal,156,158,90,59,2,99,60,96,3,62,30,134,4,24,0,Rising Pune Supergiant,0,4,1,1,1,1
41,2017,Gujarat Lions,Delhi Daredevils,normal,209,214,90,58,1,156,60,113,1,101,30,182,3,32,0,Delhi Daredevils,0,7,1,1,1,1
42,2017,Kings XI Punjab,Royal Challengers Bangalore,normal,139,119,90,37,3,82,60,68,4,51,30,98,7,21,0,Kings XI Punjab,19,0,0,0,0,0
43,2017,Rising Pune Supergiant,Sunrisers Hyderabad,normal,149,136,90,33,2,103,60,74,2,62,30,101,4,35,0,Rising Pune Supergiant,12,0,0,0,1,1
44,2017,Mumbai Indians,Delhi Daredevils,normal,213,66,90,31,4,35,60,50,8,16,30,66,10,0,0,Mumbai Indians,146,0,0,0,0,0
45,2017,Royal Challengers Bangalore,Kolkata Knight Riders,normal,159,159,90,85,0,74,60,126,2,33,30,157,4,2,0,Kolkata Knight Riders,0,6,1,1,1,1
46,2017,Kings XI Punjab,Gujarat Lions,normal,190,192,90,49,0,143,60,103,1,89,30,148,2,44,0,Gujarat Lions,0,6,1,1,1,1
47,2017,Mumbai Indians,Sunrisers Hyderabad,normal,139,140,90,37,1,103,60,83,1,57,30,113,3,27,0,Sunrisers Hyderabad,0,7,1,1,1,1
48,2017,Kings XI Punjab,Kolkata Knight Riders,normal,168,153,90,49,1,104,60,79,3,74,30,118,3,35,0,Kings XI Punjab,14,0,0,1,1,1
49,2017,Gujarat Lions,Delhi Daredevils,normal,196,197,90,47,2,150,60,92,4,105,30,138,6,59,0,Delhi Daredevils,0,2,1,0,0,0
50,2017,Kings XI Punjab,Mumbai Indians,normal,231,223,90,52,0,171,60,108,2,115,30,148,4,75,0,Kings XI Punjab,7,0,0,1,1,0
51,2017,Delhi Daredevils,Rising Pune Supergiant,normal,169,161,90,41,2,120,60,78,3,83,30,117,3,44,0,Delhi Daredevils,7,0,0,0,1,1
52,2017,Gujarat Lions,Sunrisers Hyderabad,normal,155,158,90,33,2,125,60,82,2,76,30,127,2,31,0,Sunrisers Hyderabad,0,8,1,0,1,1
53,2017,Mumbai Indians,Kolkata Knight Riders,normal,174,164,90,49,2,115,60,92,5,72,30,131,6,33,0,Mumbai Indians,9,0,0,1,0,1
54,2017,Kings XI Punjab,Rising Pune Supergiant,normal,74,78,90,36,0,42,60,62,1,16,30,78,1,0,0,Rising Pune Supergiant,0,9,1,1,1,1
55,2017,Royal Challengers Bangalore,Delhi Daredevils,normal,162,151,90,40,1,111,60,76,2,75,30,104,4,47,0,Royal Challengers Bangalore,10,0,0,1,1,0
56,2017,Rising Pune Supergiant,Mumbai Indians,normal,163,142,90,41,1,101,60,71,4,71,30,103,7,39,0,Rising Pune Supergiant,20,0,0,1,0,0
58,2017,Kolkata Knight Riders,Mumbai Indians,normal,108,111,90,32,2,79,60,64,3,47,30,111,4,0,0,Mumbai Indians,0,6,1,1,1,1
59,2017,Mumbai Indians,Rising Pune Supergiant,normal,130,128,90,32,1,96,60,58,1,70,30,83,2,45,0,Mumbai Indians,1,0,0,1,1,1
60,2008,Kolkata Knight Riders,Royal Challengers Bangalore,normal,223,82,90,24,3,58,60,51,7,31,30,81,9,1,0,Kolkata Knight Riders,140,0,0,0,0,0
61,2008,Chennai Super Kings,Kings XI Punjab,normal,241,207,90,47,0,160,60,110,1,97,30,165,3,42,0,Chennai Super Kings,33,0,0,1,1,1
62,2008,Rajasthan Royals,Delhi Daredevils,normal,130,132,90,48,1,84,60,86,1,46,30,128,1,4,0,Delhi Daredevils,0,9,1,1,1,1
63,2008,Mumbai Indians,Royal Challengers Bangalore,normal,166,166,90,37,1,129,60,76,3,90,30,118,4,48,0,Royal Challengers Bangalore,0,5,1,1,1,1
64,2008,Deccan Chargers,Kolkata Knight Riders,normal,111,112,90,23,3,89,60,38,3,74,30,81,4,31,0,Kolkata Knight Riders,0,5,1,0,0,1
65,2008,Kings XI Punjab,Rajasthan Royals,normal,167,168,90,48,3,120,60,87,3,81,30,142,4,26,0,Rajasthan Royals,0,6,1,0,1,1
66,2008,Deccan Chargers,Delhi Daredevils,normal,143,143,90,37,1,106,60,95,1,48,30,143,1,0,0,Delhi Daredevils,0,9,1,1,1,1
67,2008,Chennai Super Kings,Mumbai Indians,normal,209,202,90,50,2,152,60,83,3,119,30,134,5,68,0,Chennai Super Kings,6,0,0,0,0,0
68,2008,Deccan Chargers,Rajasthan Royals,normal,215,217,90,57,1,160,60,114,2,103,30,159,3,58,0,Rajasthan Royals,0,3,1,1,1,1
69,2008,Kings XI Punjab,Mumbai Indians,normal,183,116,90,34,2,82,60,67,4,49,30,101,7,15,0,Kings XI Punjab,66,0,0,0,0,0
70,2008,Royal Challengers Bangalore,Rajasthan Royals,normal,136,138,90,39,2,99,60,73,2,65,30,121,2,17,0,Rajasthan Royals,0,7,1,1,1,1
71,2008,Kolkata Knight Riders,Chennai Super Kings,normal,148,152,90,35,0,117,60,77,1,75,30,121,1,31,0,Chennai Super Kings,0,9,1,1,1,1
72,2008,Mumbai Indians,Deccan Chargers,normal,155,155,90,47,0,108,60,130,0,25,30,155,0,0,0,Deccan Chargers,0,10,1,1,1,1
73,2008,Delhi Daredevils,Kings XI Punjab,normal,159,162,90,43,2,119,60,81,3,81,30,123,4,39,0,Kings XI Punjab,0,4,1,1,1,1
74,2008,Chennai Super Kings,Royal Challengers Bangalore,normal,179,165,90,32,1,133,60,93,1,72,30,132,3,33,0,Chennai Super Kings,13,0,0,0,1,1
75,2008,Kolkata Knight Riders,Mumbai Indians,normal,138,138,90,29,3,109,60,69,3,69,30,110,3,28,0,Mumbai Indians,0,7,1,0,1,1
76,2008,Delhi Daredevils,Royal Challengers Bangalore,normal,192,181,90,48,3,133,60,83,3,98,30,134,3,47,0,Delhi Daredevils,10,0,0,0,0,1
77,2008,Deccan Chargers,Kings XI Punjab,normal,165,167,90,37,0,130,60,77,2,90,30,129,3,38,0,Kings XI Punjab,0,7,1,1,1,1
78,2008,Rajasthan Royals,Kolkata Knight Riders,normal,197,151,90,44,2,107,60,78,3,73,30,128,5,23,0,Rajasthan Royals,45,0,0,0,0,0
79,2008,Chennai Super Kings,Delhi Daredevils,normal,170,172,90,54,0,118,60,106,0,66,30,142,2,30,0,Delhi Daredevils,0,8,1,1,1,1
80,2008,Deccan Chargers,Royal Challengers Bangalore,normal,166,171,90,36,1,135,60,61,2,110,30,106,3,65,0,Royal Challengers Bangalore,0,5,1,1,0,0
81,2008,Kings XI Punjab,Kolkata Knight Riders,normal,179,169,90,29,4,140,60,52,5,117,30,101,5,68,0,Kings XI Punjab,9,0,0,0,0,0
82,2008,Mumbai Indians,Delhi Daredevils,normal,163,133,90,29,2,104,60,81,3,52,30,114,5,19,0,Mumbai Indians,29,0,0,0,1,1
83,2008,Chennai Super Kings,Rajasthan Royals,normal,110,110,90,34,0,76,60,78,0,32,30,110,2,0,0,Rajasthan Royals,0,8,1,1,1,1
84,2008,Royal Challengers Bangalore,Kings XI Punjab,normal,127,127,90,44,1,83,60,81,2,46,30,109,4,18,0,Kings XI Punjab,0,6,1,1,1,1
85,2008,Chennai Super Kings,Deccan Chargers,normal,145,148,90,30,1,118,60,78,2,70,30,115,2,33,0,Deccan Chargers,0,7,1,1,1,1
86,2008,Rajasthan Royals,Mumbai Indians,normal,104,104,90,29,0,75,60,64,1,40,30,102,3,2,0,Mumbai Indians,0,7,1,1,1,1
87,2008,Delhi Daredevils,Chennai Super Kings,normal,188,188,90,42,0,146,60,98,2,90,30,142,4,46,0,Chennai Super Kings,0,4,1,1,1,1
88,2008,Kolkata Knight Riders,Royal Challengers Bangalore,normal,130,124,90,32,2,92,60,53,3,71,30,111,4,13,0,Kolkata Knight Riders,5,0,0,0,0,1
89,2008,Deccan Chargers,Rajasthan Royals,normal,141,141,90,33,0,108,60,81,0,60,30,129,1,12,0,Rajasthan Royals,0,8,1,1,1,1
90,2008,Royal Challengers Bangalore,Mumbai Indians,normal,123,126,90,36,0,90,60,79,0,47,30,117,1,9,0,Mumbai Indians,0,9,1,1,1,1
91,2008,Chennai Super Kings,Kings XI Punjab,normal,182,163,90,31,2,132,60,76,2,87,30,115,6,48,0,Chennai Super Kings,18,0,0,0,1,0
